title,author,year,type,volume,issue,pages,venue,venueShort,publisher,doi,url,abstract,keywords,citedBy,citedByPerYear,quality,objective,technology,data,participants,maturity,device
Comparing Data from Chatbot and Web Surveys: Effects of Platform and Conversational Style on Survey Response Quality,"Kim, Soomin; Lee, Joonhwan; Gweon, Gahgene",2019,conferencePaper,,,1–12,Proceedings of the 2019 CHI Conference on Human Factors in Computing Systems,CHI,ACM,10.1145/3290605.3300316,https://doi.org/10.1145/3290605.3300316,"This study aims to explore the feasibility of a text-based virtual agent as a new survey method to overcome the web survey's common response quality problems, which are caused by respondents' inattention. To this end, we conducted a 2 (platform: web vs. chatbot) × 2 (conversational style: formal vs. casual) experiment. We used satisficing theory to compare the responses' data quality. We found that the participants in the chatbot survey, as compared to those in the web survey, were more likely to produce differentiated responses and were less likely to satisfice; the chatbot survey thus resulted in higher-quality data. Moreover, when a casual conversational style is used, the participants were less likely to satisfice-although such effects were only found in the chatbot condition. These results imply that conversational interactivity occurs when a chat interface is accompanied by messages with effective tone. Based on an analysis of the qualitative responses, we also showed that a chatbot could perform part of a human interviewer's role by applying effective communication strategies.",user experience design; survey interface; human ai interaction; conversational interface; conversational agent; chatbot,237,43.09,A*,Research assistants,"Rule-based systems, ChatBot",Text,yes,prototype,mobile
Predicting user satisfaction with intelligent assistants,"Kiseleva, Julia; Crook, Aidan C.; Williams, Kyle; Zitouni, Imed; Awadallah, Ahmed Hassan; Anastasakos, Tasos",2016,conferencePaper,,,45 – 54,Proceedings of the 39th International ACM SIGIR conference on Research and Development in Information Retrieval,SIGIR,ACM,10.1145/2911451.2911521,https://doi.org/10.1145/2911451.2911521,"There is a rapid growth in the use of voice-controlled intelligent personal assistants on mobile devices, such as Microsoft's Cortana, Google Now, and Apple's Siri. They significantly change the way users interact with search systems, not only because of the voice control use and touch gestures, but also due to the dialogue-style nature of the interactions and their ability to preserve context across different queries. Predicting success and failure of such search dialogues is a new problem, and an important one for evaluating and further improving intelligent assistants. While clicks in web search have been extensively used to infer user satisfaction, their significance in search dialogues is lower due to the partial replacement of clicks with voice control, direct and voice answers, and touch gestures. In this paper, we propose an automatic method to predict user satisfaction with intelligent assistants that exploits all the interaction signals, including voice commands and physical touch gestures on the device. First, we conduct an extensive user study to measure user satisfaction with intelligent assistants, and simultaneously record all user interactions. Second, we show that the dialogue style of interaction makes it necessary to evaluate the user experience at the overall task level as opposed to the query level. Third, we train a model to predict user satisfaction, and find that interaction signals that capture the user reading patterns have a high impact: when including all available interaction signals, we are able to improve the prediction accuracy of user satisfaction from 71% to 81% over a baseline that utilizes only click and query features. © 2016 ACM.",Forecasting; Information retrieval; Intelligent assistants; Mobile devices; Mobile search; Mobile telecommunication systems; Speech processing; Spoken dialogue system; User experience; User interfaces; User satisfaction; User study; World Wide Web,177,20.82,A*,Usability attribute evaluation,Machine learning,"User interactions, Text",yes,prototype,mobile
Computational layout perception using Gestalt laws,"Koch, Janin; Oulasvirta, Antti",2016,conferencePaper,07-12-May-2016,,1423 – 1429,CHI Conference on Human Factors in Computing Systems,CHI,ACM,10.1145/2851581.2892537,https://doi.org/10.1145/2851581.2892537,"We present preliminary results on computational perception of interactive layouts. Our goal is to algorithmically estimate how users perceive a layout. Potential applications range from automated usability evaluation to computer-generated and adaptive interfaces. Layout perception is challenging, however, because of diverse features, combinatorial complexity, and absence of approaches. We have explored Gestalt laws as parsing heuristics. Our approach finds a parametrization that optimally resolves conflicts among competing interpretations of a layout. The output is a hierarchical grouping of main elements. The results are promising: an implementation of just four Gestalt laws enables hierarchical grouping that presents promising results in 90% of our (realistic) test cases. © 2016 Authors.",Adaptive interface; Application range; Automated usability evaluation; Combinatorial complexity; Computational perception; Computer generated; Diverse features; Gestalt law; Hierarchical groupings; Human computer interaction; Human engineering; User interface layouts; User interfaces,25,2.94,A*,Perceived affordance evaluation,Rule-based systems,Source code,no,prototype,desktop
Predicting Final User Satisfaction Using Momentary UX Data and Machine Learning Techniques,"Koonsanit, Kitti; Nishiuchi, Nobuyuki",2021,journalArticle,16,7,3136-3156,Journal of Theoretical and Applied Electronic Commerce Research,,MDPI,10.3390/jtaer16070171,https://doi.org/10.3390/jtaer16070171,"User experience (UX) evaluation investigates how people feel about using products or services and is considered an important factor in the design process. However, there is no comprehensive UX evaluation method for time-continuous situations during the use of products or services. Because user experience changes over time, it is difficult to discern the relationship between momentary UX and episodic or cumulative UX, which is related to final user satisfaction. This research aimed to predict final user satisfaction by using momentary UX data and machine learning techniques. The participants were 50 and 25 university students who were asked to evaluate a service (Experiment I) or a product (Experiment II), respectively, during usage by answering a satisfaction survey. Responses were used to draw a customized UX curve. Participants were also asked to complete a final satisfaction questionnaire about the product or service. Momentary UX data and participant satisfaction scores were used to build machine learning models, and the experimental results were compared with those obtained using seven built machine learning models. This study shows that participants’ momentary UX can be understood using a support vector machine (SVM) with a polynomial kernel and that momentary UX can be used to make more accurate predictions about final user satisfaction regarding product and service usage.",user experience; UX; UX evaluation; satisfaction; prediction; machine learning,20,5.71,Q2,Usability attribute evaluation,Machine learning,User interactions,yes,prototype,desktop
Critique Style Guide: Improving Crowdsourced Design Feedback with a Natural Language Model,"Krause, Markus; Garncarz, Tom; Song, JiaoJiao; Gerber, Elizabeth M.; Bailey, Brian P.; Dow, Steven P.",2017,conferencePaper,,,4627–4639,Proceedings of the 2017 CHI Conference on Human Factors in Computing Systems,CHI,ACM,10.1145/3025453.3025883,https://doi.org/10.1145/3025453.3025883,"Designers are increasingly leveraging online crowds; yet, online contributors may lack the expertise, context, and sensitivity to provide effective critique. Rubrics help feedback providers but require domain experts to write them and may not generalize across design domains. This paper introduces and tests a novel semi-automated method to support feedback providers by analyzing feedback language. In our first study, 52 students from two design courses created design solutions and received feedback from 176 online providers. Instructors, students, and crowd contributors rated the helpfulness of each feedback response. From this data, an algorithm extracted a set of natural language features (e.g., specificity, sentiment etc.) that correlated with the ratings. The features accurately predicted the ratings and remained stable across different raters and design solutions. Based on these features, we produced a critique style guide with feedback examples - automatically selected for each feature - to help providers revise their feedback through self-assessment. In a second study, we tested the validity of the guide through a between-subjects experiment (n=50). Providers wrote feedback on design solutions with or without the guide. Providers generated feedback with higher perceived helpfulness when using our style-based guidance.",Design; critique; feedback; crowdsourcing; expertise; rubrics,60,8,A*,Feedback evaluation,NLP,Text,yes,prototype,device independent
Collaboration with Conversational AI Assistants for UX Evaluation: Questions and How to Ask them (Voice vs. Text),"Kuang, Emily; Jahangirzadeh Soure, Ehsan; Fan, Mingming; Zhao, Jian; Shinohara, Kristen",2023,conferencePaper,,,1–15,Proceedings of the 2023 CHI Conference on Human Factors in Computing Systems,CHI,ACM,10.1145/3544548.3581247,https://doi.org/10.1145/3544548.3581247,"AI is promising in assisting UX evaluators with analyzing usability tests, but its judgments are typically presented as non-interactive visualizations. Evaluators may have questions about test recordings, but have no way of asking them. Interactive conversational assistants provide a Q&amp;A dynamic that may improve analysis efficiency and evaluator autonomy. To understand the full range of analysis-related questions, we conducted a Wizard-of-Oz design probe study with 20 participants who interacted with simulated AI assistants via text or voice. We found that participants asked for five categories of information: user actions, user mental model, help from the AI assistant, product and task information, and user demographics. Those who used the text assistant asked more questions, but the question lengths were similar. The text assistant was perceived as significantly more efficient, but both were rated equally in satisfaction and trust. We also provide design considerations for future conversational AI assistants for UX evaluation.",Conversational assistants; Human-AI collaboration; UX evaluation; Usability testing; User experience (UX),17,11.33,A*,Research assistants,"Machine learning, ChatBot","User interactions, Audio, Video",yes,prototype,desktop
Enhancing UX Evaluation Through Collaboration with Conversational AI Assistants: Effects of Proactive Dialogue and Timing,"Kuang, Emily; Li, Minghao; Fan, Mingming; Shinohara, Kristen",2024,conferencePaper,,,,Proceedings of the 2024 CHI Conference on Human Factors in Computing Systems,CHI,ACM,10.1145/3613904.3642168,https://doi.org/10.1145/3613904.3642168,"Usability testing is vital for enhancing the user experience (UX) of interactive systems. However, analyzing test videos is complex and resource-intensive. Recent AI advancements have spurred exploration into human-AI collaboration for UX analysis, particularly through natural language. Unlike user-initiated dialogue, our study investigated the potential of proactive conversational assistants to aid UX evaluators through automatic suggestions at three distinct times: before, in sync with, and after potential usability problems. We conducted a hybrid Wizard-of-Oz study involving 24 UX evaluators, using ChatGPT to generate automatic problem suggestions and a human actor to respond to impromptu questions. While timing did not significantly impact analytic performance, suggestions appearing after potential problems were preferred, enhancing trust and efficiency. Participants found the automatic suggestions useful, but they collectively identified more than twice as many problems, underscoring the irreplaceable role of human expertise. Our findings also offer insights into future human-AI collaborative tools for UX evaluation.",User experience; Natural languages; Usability testing; Human-AI collaboration; Timing circuits; Performance; Users' experiences; Interactive system; Human engineering; Wizard-of-oz studies; Usability problems; Human actor; Proactive conversational assistant; Proactive conversational assistants,5,10,A*,Research assistants,"LLM, ChatBot","Audio, Video",yes,prototype,desktop
E-Commerce Website Usability Analysis Using the Association Rule Mining and Machine Learning Algorithm,"Kumar, Biresh; Roy, Sharmistha; Sinha, Anurag; Iwendi, Celestine; Strazovska, Lubomira",2023,journalArticle,11,1,,Mathematics,,MDPI,10.3390/math11010025,https://doi.org/10.3390/math11010025,"The overall effectiveness of a website as an e-commerce platform is influenced by how usable it is. This study aimed to find out if advanced web metrics, derived from Google Analytics software, could be used to evaluate the overall usability of e-commerce sites and identify potential usability issues. It is simple to gather web indicators, but processing and interpretation take time. This data is produced through several digital channels, including mobile. Big data has proven to be very helpful in a variety of online platforms, including social networking and e-commerce websites, etc. The sheer amount of data that needs to be processed and assessed to be useful is one of the main issues with e-commerce today as a result of the digital revolution. Additionally, on social media a crucial growth strategy for e-commerce is the usage of BDA capabilities as a guideline to boost sales and draw clients for suppliers. In this paper, we have used the KMP algorithm-based multivariate pruning method for web-based web index searching and different web analytics algorithm with machine learning classifiers to achieve patterns from transactional data gathered from e-commerce websites. Moreover, through the use of log-based transactional data, the research presented in this paper suggests a new machine learning-based evaluation method for evaluating the usability of e-commerce websites. To identify the underlying relationship between the overall usability of the eLearning system and its predictor factors, three machine learning techniques and multiple linear regressions are used to create prediction models. This strategy will lead the e-commerce industry to an economically profitable stage. This capability can assist a vendor in keeping track of customers and items they have viewed, as well as categorizing how customers use their e-commerce emporium so the vendor can cater to their specific needs. It has been proposed that machine learning models, by offering trustworthy prognoses, can aid in excellent usability. Such models might be incorporated into an online prognostic calculator or tool to help with treatment selection and possibly increase visibility. However, none of these models have been recommended for use in reusability because of concerns about the deployment of machine learning in e-commerce and technical issues. One problem with machine learning science that needs to be solved is explainability. For instance, let us say B is 10 and all the people in our population are even. The hash function's behavior is not random since only buckets 0, 2, 4, 6, and 8 can be the value of h(x). However, if B = 11, we would find that 1/11th of the even integers is transmitted to each of the 11 buckets. The hash function would work well in this situation.",association rule; big data analytics; collaborative filtering; e-commerce usability; hashing; KMP algorithm; machine learning; web mining,44,29.33,Q1,Usability attribute evaluation,Machine learning,User interactions,yes,prototype,"desktop, mobile"
Unmoderated Usability Studies Evolved: Can GPT Ask Useful Follow-up Questions?,"Kuric, Eduard; Demcak, Peter; Krajcovic, Matus",2024,journalArticle,,,,International Journal of Human–Computer Interaction,,Taylor & Francis,10.1080/10447318.2024.2427978,https://doi.org/10.1080/10447318.2024.2427978,"Follow-up questions during usability testing provide crucial insights into the user’s experience with a product or service. In unmoderated usability tests conducted online, artificial intelligence ...",ChatGPT; usability testing; follow-up questions; unmoderated study; website prototype,0,0,Q2,Research assistants,LLM,Text,yes,prototype,desktop
Analytical Framework for Facial Expression on Game Experience Test,"Kwon, Seungjin; Ahn, Jaehyun; Choi, Hyukgeun; Jeon, Jiho; Kim, Doyoung; Kim, Hoyeon; Kang, Shinjin",2022,journalArticle,10,,104486-104497,IEEE Access,,IEEE,10.1109/ACCESS.2022.3210712,https://doi.org/10.1109/ACCESS.2022.3210712,"Game experience testing, an essential process for developing and servicing high-quality games, aims to evaluate and improve the play experience from the user perspective. Previous game experience tests are usually held offline with recruited test participants. Participants play the game in a controlled environment, and their experiences are recorded and analyzed by domain experts. However, this process not only requires substantial resources in terms of time and cost but also misses momentary data that can infer the user’s experience directly and quantitatively, such as facial expressions or body gestures of the participants while playing the game. In this paper, we propose a framework that can automatically collect and analyze video data of participants in a remote environment. We designed various experiments to verify that the proposed framework can automatically collect and analyze facial data in a remote environment. The experimental results show that our framework can be applied in gaming experience tests for popular commercial games currently in service. This paper presents a pioneering work that applies the face analysis method to the commercial game development process, and its purpose is beyond that of a pure research work.",face detection; Face recognition; facial expression recognition; game experience test framework; Game user research; Games; head pose recognition; Pose estimation; Sensors; Streaming media; Testing; User experience; WebRTC,6,2.4,Q2,Affective state detection,"Deep learning, Computer vision",Video,yes,prototype,desktop
Automatic Graphical User Interface aesthetic evaluation tool using the UIED segmentation algorithm,"Kyelem, Yacouba; Zo, Mamadou; Kabore, Kisito K.; Ouedraogo, Frédéric T.",2023,conferencePaper,,,20–26,Proceedings of the 2023 3rd International Conference on Human Machine Interaction,INTERACT,ACM,10.1145/3604383.3604387,https://doi.org/10.1145/3604383.3604387,"In this work, we deal with the issue of automating the evaluation of the aesthetics of the user's applications interfaces. The aesthetics of the user interface is a sub-factor of software quality. The aesthetics of the interface provides several advantages to the users, such as the attraction of the interface, an impact on the usability of the interface, a great pleasure of the interface's use, etc. That is why we deal with the evaluation of the aesthetics interfaces application. Our goal is to suggest a tool for quantitative evaluation of user interfaces using metrics. That is why we have developed a tool for evaluating the aesthetics of application interfaces that takes screenshots of mobile and desktop applications. This tool also generates metrics as output. For the segmentation of the different components of the interfaces we used the UIED algorithm which is an algorithm for the automatic segmentation of images. Our tool uses 10 of the 14 metrics of Ngo et al [1]. We generated the values with our tool by taking the images of a site. We used a total of 351 images. The validation of our tool was done by comparing the data calculated by our tool to those of QUESTIM. We used Pearson correlation test to perform the comparison and we obtained a correlation rate of 0.91. This means that our tool and QUESTIM evaluate the interfaces in almost the same way.",Aesthetic automatic evaluation; Aesthetic metric; Quantitative approach; User Interface Element Detection (UIED),0,0,B,Aesthetics evaluation,Deep learning,Images,no,tool,desktop
A New Approach to Measure User Experience with Voice-Controlled Intelligent Assistants: A Pilot Study,"Le Pailleur, Félix; Huang, Bo; Léger, Pierre-Majorique; Sénécal, Sylvain",2020,conferencePaper,,,197-208,Human-Computer Interaction. Multimodal and Natural Interaction,HCII,Springer Nature,10.1007/978-3-030-49062-1_13,https://doi.org/10.1007/978-3-030-49062-1_13,"Voice-controlled intelligent assistants use a conversational user interface (CUI), a system that relies on natural language processing and artificial intelligence to have verbal interactions with end-users. In this research, we propose a multi-method approach to assess user experience with a smart voice assistant through triangulation of psychometric and psychophysiological measures. The approach aims to develop a richer understanding of what the users experience during the interaction, which could provide new insights to researchers and developers in the field of voice assistant. We apply this new approach in a pilot study, and we show that each method captures a part of emotional variance during the interaction. Results suggest that emotional valence is better captured with psychometric measures, whereas arousal is better detected with psychophysiological measures.",User experience; Emotion; Arousal; Conversational user interface; Human-Computer Interactions; Valence; Vocal assistant,14,3.11,B,Affective state detection,"Deep learning, Computer vision","Physiological signals, Video",yes,prototype,desktop
Continuous Usability Requirements Evaluation based on Runtime User Behavior Mining,"Li, Tong; Zhang, Tianai",2022,conferencePaper,2022-December,,1036 – 1045,"2022 IEEE 22nd International Conference on Software Quality, Reliability and Security",QRS,IEEE,10.1109/QRS57517.2022.00107,https://doi.org/10.1109/QRS57517.2022.00107,"Usability requirements have been widely recognized as an essential quality requirement for systems that interact with people. However, evaluating the satisfaction of usability requirements usually involves user interactions, which is intrusive and time-consuming. In this paper, we propose a novel framework for systematically and automatically evaluating the satisfaction of usability requirements at runtime. Specifically, a behavior-centric conceptual model is proposed to comprehensively characterize user behaviors. An analysis process is then proposed based on the conceptual model, which systematically refines high-level usability requirements into observable and measurable user behaviors in order to automatically evaluate their satisfaction. Moreover, we investigate and mine patterns of user behaviors, which further explain the results of the satisfaction analysis. We systematically design and conduct a case study to evaluate our proposed framework, the results of which show that our approach is able to identify most usability issues and precisely assess the satisfaction of participants' usability requirements. Importantly, our approach enables continuous usability requirements evaluation without interfering with users, pragmatically contributing to trade-off analysis among quality requirements at runtime. © 2022 IEEE.",Usability engineering; Software quality; Behavioral sciences; Analytical models; Systematics; Software reliability; Planning; Behavioral research; Runtimes; Quality control; Economic and social effects; User behaviors; Requirements engineering; Usability requirements; Requirement analysis; Behavior pattern mining; Behaviour patterns; Conceptual model; Pattern mining; Runtime requirement analyse; Usability smell; Usability smells; Runtime; Conceptual modeling; Runtime requirements analysis,1,0.4,B,Usability attribute evaluation,Rule-based systems,User interactions,yes,prototype,"desktop, mobile"
Evaluating User’s Emotional Experience in HCI: The PhysiOBS Approach,"Liapis, Alexandros; Karousos, Nikos; Katsanos, Christos; Xenos, Michalis",2014,conferencePaper,,,758-767,Human-Computer Interaction. Advanced Interaction Modalities and Techniques,HCII,Springer Nature,10.1007/978-3-319-07230-2_72,https://doi.org/10.1007/978-3-319-07230-2_72,"As computing is changing parameters, apart from effectiveness and efficiency in human-computer interaction, such as emotion have become more relevant than before. In this paper, a new tool-based evaluation approach of user’s emotional experience during human-computer interaction is presented. The proposed approach combines user’s physiological signals, observation data and self-reported data in an innovative tool (PhysiOBS) that allows continuous and multiple emotional states analysis. To the best of our knowledge, such an approach that effectively combines all these user-generated data in the context of user’s emotional experience evaluation does not exist. Results from a preliminary evaluation study of the tool were rather encouraging revealing that the proposed approach can provide valuable insights to user experience practitioners.",Emotions; Evaluation; Human Computer Interaction; Physiological Signals; User Emotional Experience,24,2.29,B,Affective state detection,"Deep learning, Computer vision","Physiological signals, Video, Gaze data",yes,tool,desktop
Advancing stress detection methodology with deep learning techniques targeting ux evaluation in aal scenarios: Applying embeddings for categorical variables,"Liapis, Alexandros; Faliagka, Evanthia; Antonopoulos, Christos P.; Keramidas, Georgios; Voros, Nikolaos",2021,journalArticle,10,13,,Electronics,,MDPI,10.3390/electronics10131550,https://doi.org/10.3390/electronics10131550,"Physiological measurements have been widely used by researchers and practitioners in order to address the stress detection challenge. So far, various datasets for stress detection have been recorded and are available to the research community for testing and benchmarking. The majority of the stress-related available datasets have been recorded while users were exposed to intense stressors, such as songs, movie clips, major hardware/software failures, image datasets, and gaming scenarios. However, it remains an open research question if such datasets can be used for creating models that will effectively detect stress in different contexts. This paper investigates the performance of the publicly available physiological dataset named WESAD (wearable stress and affect detection) in the context of user experience (UX) evaluation. More specifically, electrodermal activity (EDA) and skin temperature (ST) signals from WESAD were used in order to train three traditional machine learning classifiers and a simple feed forward deep learning artificial neural network combining continues variables and entity embeddings. Regarding the binary classification problem (stress vs. no stress), high accuracy (up to 97.4%), for both training approaches (deep-learning, machine learning), was achieved. Regarding the stress detection effectiveness of the created models in another context, such as user experience (UX) evaluation, the results were quite impressive. More specifically, the deep-learning model achieved a rather high agreement when a user-annotated dataset was used for validation. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",deep learning; Deep learning; UX evaluation; Stress detection; electrodermal activity; entity embeddings; stress detection; Electrodermal activity; Entity embeddings,11,3.14,Q3,Affective state detection,"Deep learning, Machine learning",Physiological signals,yes,prototype,wearables
Detection of Subtle Stress Episodes During UX Evaluation: Assessing the Performance of the WESAD Bio-Signals Dataset,"Liapis, Alexandros; Faliagka, Evanthia; Katsanos, Christos; Antonopoulos, Christos; Voros, Nikolaos",2021,conferencePaper,12934 LNCS,,238 – 247,Human-Computer Interaction–INTERACT 2021: 18th IFIP TC 13 International Conference,INTERACT,Springer Nature,10.1007/978-3-030-85613-7_17,https://doi.org/10.1007/978-3-030-85613-7_17,"Stress is a highly subjective condition and may largely vary in different contexts. Bio-signals have been widely used by researchers and practitioners to monitor stress levels. Consequently, various bio-signals datasets for stress recognition have been recorded. The most of publicly available physiological datasets have been emotionally annotated in a context where users have been exposed to intense stressors, such as movie clips, songs, major hardware/software failures, image datasets, and gaming. However, it remains unexplored how effectively such datasets can be used in different contexts. This paper investigates the performance of the publicly available dataset named WESAD (Wearable Stress and Affect Detection) in the context of UX evaluation. More specifically, skin conductance signal from WESAD was used to train four machine learning classifiers. Regarding the binary classification problem (stress vs. no stress), models’ accuracy was rather high (at least 91.1%). However, it was found that their effectiveness in assessing stress in the context of UX was rather poor when a new bio-signals dataset was used. © 2021, IFIP International Federation for Information Processing.",Affect detection; Binary classification problems; Hardware/software; Human computer interaction; Image datasets; Learning systems; Movie clips; Skin conductance; Stress levels; Stress recognition,19,5.43,B,Affective state detection,"Deep learning, Machine learning",Physiological signals,yes,prototype,wearables
Nighthawk: Fully Automated Localizing UI Display Issues via Visual Understanding,"Liu, Zhe; Chen, Chunyang; Wang, Junjie; Huang, Yuekai; Hu, Jun; Wang, Qing",2023,journalArticle,49,1,403-418,IEEE Transactions on Software Engineering,,IEEE,10.1109/TSE.2022.3150876,https://doi.org/10.1109/TSE.2022.3150876,"Graphical User Interface (GUI) provides a visual bridge between a software application and end users, through which they can interact with each other. With the upgrading of mobile devices and the development of aesthetics, the visual effects of the GUI are more and more attracting, and users pay more attention to the accessibility and usability of applications. However, such GUI complexity posts a great challenge to the GUI implementation. According to our pilot study of crowdtesting bug reports, display issues such as text overlap, component occlusion, missing image always occur during GUI rendering on different devices due to the software or hardware compatibility. They negatively influence the app usability, resulting in poor user experience. To detect these issues, we propose a fully automated approach, Nighthawk, based on deep learning for modelling visual information of the GUI screenshot. Nighthawk can detect GUIs with display issues and also locate the detailed region of the issue in the given GUI for guiding developers to fix the bug. At the same time, training the model needs a large amount of labeled buggy screenshots, which requires considerable manual effort to prepare them. We therefore propose a heuristic-based training data auto-generation method to automatically generate the labeled training data. The evaluation demonstrates that our Nighthawk can achieve average 0.84 precision and 0.84 recall in detecting UI display issues, average 0.59 AP and 0.60 AR in localizing these issues. We also evaluate Nighthawk with popular Android apps on Google Play and F-Droid, and successfully uncover 151 previously-undetected UI display issues with 75 of them being confirmed or fixed so far.",deep learning; Deep learning; Graphical user interfaces; Location awareness; Software; Internet; UI display; UI testing; Visual effects; Training data; mobile app; Computer bugs; object detection; Application programs; Program debugging; End-users; Display devices; Fully automated; Heuristic methods; Interface complexity; Screenshots; Software applications,33,22,Q1,Automatic guideline evaluation,"Deep learning, Computer vision",Images,no,tool,mobile
Conversation-based hybrid UI for the repertory grid technique: A lab experiment into automation of qualitative surveys,"Liu, Yunxing; Martens, Jean-Bernard ",2024,journalArticle,184,,103227,International Journal of Human-Computer Studies,,Elsevier,10.1016/j.ijhcs.2024.103227,https://doi.org/10.1016/j.ijhcs.2024.103227,"A frequent use of conversational user interfaces (CUIs) today is improving the users’ experience with online quantitative surveys. In this paper, we explore the use of CUIs in qualitative surveys. As a concrete use case, we adopt a specific, well-structured, qualitative research method called the repertory grid technique (RGT). We developed a hybrid user interface (HUI) that combines a graphical user interface (GUI) with a CUI to automate the distinct stages in a RGT survey. A pilot study was used to verify the feasibility of the approach and to fine-tune interface aspects of an initial prototype. In this paper, we report the results of a within-subject lab experiment with 24 participants that aimed to establish the performance and UX in a realistic context of a more advanced prototype. We observed a small decrease in UX in some hedonistic aspects, but also confirmed that the HUI performs similarly to a human agent in most pragmatic aspects. These results provide support for our hypothesis that automating qualitative surveys is possible with proper interface design. We hope that our work can inspire other researchers to design additional tools for qualitative survey automation, especially now that generative AI systems, such as ChatGPT, open up interesting new ways for computer systems to interact with users in natural language.",Chatbot; Qualitative survey automation; Hybrid UI; Repertory grid technique,4,8,Q1,Research assistants,"LLM, ChatBot","Images, Text, User interactions",yes,prototype,desktop
On the automatic classification of app reviews,"Maalej, Walid; Kurtanović, Zijad; Nabil, Hadeer; Stanik, Christoph",2016,journalArticle,21,3,311-331,Requirements Engineering,,Springer Nature,10.1007/s00766-016-0251-9,https://doi.org/10.1007/s00766-016-0251-9,"App stores like Google Play and Apple AppStore have over 3 million apps covering nearly every kind of software and service. Billions of users regularly download, use, and review these apps. Recent studies have shown that reviews written by the users represent a rich source of information for the app vendors and the developers, as they include information about bugs, ideas for new features, or documentation of released features. The majority of the reviews, however, is rather non-informative just praising the app and repeating to the star ratings in words. This paper introduces several probabilistic techniques to classify app reviews into four types: bug reports, feature requests, user experiences, and text ratings. For this, we use review metadata such as the star rating and the tense, as well as, text classification, natural language processing, and sentiment analysis techniques. We conducted a series of experiments to compare the accuracy of the techniques and compared them with simple string matching. We found that metadata alone results in a poor classification accuracy. When combined with simple text classification and natural language preprocessing of the text—particularly with bigrams and lemmatization—the classification precision for all review types got up to 88–92 % and the recall up to 90–99 %. Multiple binary classifiers outperformed single multiclass classifiers. Our results inspired the design of a review analytics tool, which should help app vendors and developers deal with the large amount of reviews, filter critical reviews, and assign them to the appropriate stakeholders. We describe the tool main features and summarize nine interviews with practitioners on how review analytics tools including ours could be used in practice.",Machine learning; Natural language processing; User feedback; Data-driven requirements engineering; Review analytics; Software analytics,331,38.94,Q2,Feedback evaluation,NLP,Text,yes,prototype,device independent
"Accessibility, usability, and security evaluation of universities’ prospective student web pages: a comparative study of Europe, North America, and Oceania","Macakoğlu, Şevval Seray; Peker, Serhat; Medeni, İhsan Tolga",2023,journalArticle,22,2,671 – 683,Universal Access in the Information Society,,Springer Nature,10.1007/s10209-022-00869-9,https://doi.org/10.1007/s10209-022-00869-9,"Universities' prospective student web pages aim to disseminate information about their academic and social opportunities to their stakeholders; therefore, they must be accessible, of high quality of use and reliable. This article presents the accessibility, usage performance, and security analysis of prospective student web pages of 330 universities from three continents, namely Europe, North America, and Oceania. For this purpose, university websites were selected based on the Webometrics ranking, and online automated test tools were used. The results showed that websites at universities in North America paid more attention to accessibility and quality of use on prospective student web pages, followed by Oceanian and European websites. Evaluated websites had low compliance levels according to the WCAG 2.0 guideline. No major problems were identified in terms of usability and security, but there were certain points for improvement. Moreover, we present and discuss recommendations to developers and administrators for websites to resolve accessibility, usability, and security breaches and provide information equally to all stakeholders. Hence, this analysis report provides feedback to web developers to improve accessibility, quality of use, and security issues of university websites and their prospective student web pages. © 2022, The Author(s), under exclusive licence to Springer-Verlag GmbH Germany, part of Springer Nature.",Human computer interaction; Information dissemination; Performances evaluation; Prospectives; Quality control; Students; Usability and security; Usability engineering; Web accessibility; Web Design; Web information systems; Web performance; Web performance evaluation; WEB security; Web usability; Web-page,48,32,Q3,Usability attribute evaluation,Descriptive metrics,Source code,no,existing tools usage,"desktop, mobile"
DeepFlow: Detecting Optimal User Experience From Physiological Data Using Deep Neural Networks,"Maier, Marco; Elsner, Daniel; Marouane, Chadly; Zehnle, Meike; Fuchs, Christoph",2019,conferencePaper,,,1415-1421,Proceedings of the Twenty-Eighth International Joint Conference on Artificial Intelligence (IJCAI-19),IJCAI,ACM,10.24963/ijcai.2019/196,https://doi.org/10.24963/ijcai.2019/196,Electronic proceedings of IJCAI 2019,Humans and AI: Human-Computer Interaction; Machine Learning Applications: Applications of Supervised Learning,73,13.27,A*,Affective state detection,Deep learning,Physiological signals,yes,prototype,desktop
